food_Code,food_Nm,nation_Std_Food_Grupp_Code_Nm,food_Wgh,allrgy_Info,food_Image_Address
F03123,"찹쌀, 백미, 보람찰, 밥",곡류 및 그 제품,10.00,null,
F00498,"땅콩, 삶은것, 소금첨가",견과 및 종실류,10.00,땅콩,
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,190.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F00513,"밤, 삶은것",견과 및 종실류,20.00,null,
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,190.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F00216,"보리, 겉보리, 압맥",곡류 및 그 제품,10.00,null,
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,190.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F00216,"보리, 겉보리, 압맥",곡류 및 그 제품,10.00,null,
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,190.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F00425,"강낭콩, 삶은것",두류,10.00,null,
F00216,"보리, 겉보리, 압맥",곡류 및 그 제품,10.00,null,
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,180.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F00277,"조, 메조, 도정, 찐것",곡류 및 그 제품,10.00,null,
F00216,"보리, 겉보리, 압맥",곡류 및 그 제품,10.00,null,
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,180.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F00483,"팥, 적색, 삶은것",두류,10.00,null,
F00228,"수수, 찰수수, 도정, 생것",곡류 및 그 제품,20.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_079.jpg
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,180.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F00966,"쑥, 생것",채소류,20.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-5845-1/978-89-480-5845-1_B_019.jpg
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,210.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F03123,"찹쌀, 백미, 보람찰, 밥",곡류 및 그 제품,140.00,null,
F00511,"밤, 생것",견과 및 종실류,25.00,null,
F01320,"대추, 말린것",과일류,15.00,null,
F02825,"간장, 개량, 양조",조미료류,10.00,대두(콩),
F00397,"설탕, 흑설탕",당류,5.00,null,
F00545,"잣, 볶은것",견과 및 종실류,1.00,잣,
F02710,참기름,유지류,1.00,null,
F03123,"찹쌀, 백미, 보람찰, 밥",곡류 및 그 제품,140.00,null,
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,30.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F00278,"조, 차조, 도정, 생것",곡류 및 그 제품,10.00,null,
F00483,"팥, 적색, 삶은것",두류,10.00,null,
F00228,"수수, 찰수수, 도정, 생것",곡류 및 그 제품,5.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_079.jpg
F00466,"대두, 검은색, 흑태, 말린것",두류,5.00,대두(콩),
F00004,"기장, 도정, 생것",곡류 및 그 제품,5.00,null,
F02876,"소금, 천일염, 가는소금",조미료류,1.00,null,
F00261,"옥수수, 찰옥수수, 삶은것",곡류 및 그 제품,20.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_061.jpg
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,190.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F00444,"완두, 삶은것",두류,10.00,null,
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,180.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F03123,"찹쌀, 백미, 보람찰, 밥",곡류 및 그 제품,10.00,null,
F00272,"율무, 도정, 생것",곡류 및 그 제품,10.00,null,
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,180.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F03123,"찹쌀, 백미, 보람찰, 밥",곡류 및 그 제품,10.00,null,
F00425,"강낭콩, 삶은것",두류,15.00,null,
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,180.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F00216,"보리, 겉보리, 압맥",곡류 및 그 제품,13.00,null,
F00216,"보리, 겉보리, 압맥",곡류 및 그 제품,10.00,null,
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,140.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F00261,"옥수수, 찰옥수수, 삶은것",곡류 및 그 제품,10.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_061.jpg
F00272,"율무, 도정, 생것",곡류 및 그 제품,10.00,null,
F00276,"조, 메조, 도정, 생것",곡류 및 그 제품,10.00,null,
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,180.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F00483,"팥, 적색, 삶은것",두류,20.00,null,
F00227,"수수, 도정, 생것",곡류 및 그 제품,10.00,null,
F00278,"조, 차조, 도정, 생것",곡류 및 그 제품,10.00,null,
F00276,"조, 메조, 도정, 생것",곡류 및 그 제품,10.00,null,
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,180.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F00228,"수수, 찰수수, 도정, 생것",곡류 및 그 제품,10.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_079.jpg
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,160.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F00216,"보리, 겉보리, 압맥",곡류 및 그 제품,10.00,null,
F00278,"조, 차조, 도정, 생것",곡류 및 그 제품,10.00,null,
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,160.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F03123,"찹쌀, 백미, 보람찰, 밥",곡류 및 그 제품,10.00,null,
F03123,"찹쌀, 백미, 보람찰, 밥",곡류 및 그 제품,10.00,null,
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,190.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F03123,"찹쌀, 백미, 보람찰, 밥",곡류 및 그 제품,10.00,null,
F00228,"수수, 찰수수, 도정, 생것",곡류 및 그 제품,10.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_079.jpg
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,160.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F00467,"대두, 검은색, 흑태, 삶은것",두류,20.00,대두(콩),
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,160.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F03123,"찹쌀, 백미, 보람찰, 밥",곡류 및 그 제품,10.00,null,
F00483,"팥, 적색, 삶은것",두류,20.00,null,
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,190.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F00002,"귀리, 쌀귀리, 도정, 생것",곡류 및 그 제품,10.00,null,
F00092,"즉석밥, 누룽지",곡류 및 그 제품,60.00,null,
F03123,"찹쌀, 백미, 보람찰, 밥",곡류 및 그 제품,140.00,null,
F03119,"귀리, 쌀귀리, 도정, 밥",곡류 및 그 제품,50.00,null,
F00215,"보리, 쌀보리, 도정, 생것",곡류 및 그 제품,25.00,null,
F00328,"고구마, 찐것",감자 및 전분류,63.00,null,
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,70.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,86.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F03123,"찹쌀, 백미, 보람찰, 밥",곡류 및 그 제품,20.00,null,
F00542,"은행, 삶은것",견과 및 종실류,10.00,null,
F00513,"밤, 삶은것",견과 및 종실류,70.00,null,
F00306,"감자, 대지, 삶은것",감자 및 전분류,280.00,null,
F00278,"조, 차조, 도정, 생것",곡류 및 그 제품,20.00,null,
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,75.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F00261,"옥수수, 찰옥수수, 삶은것",곡류 및 그 제품,15.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_061.jpg
F00216,"보리, 겉보리, 압맥",곡류 및 그 제품,10.00,null,
F00216,"보리, 겉보리, 압맥",곡류 및 그 제품,17.60,null,
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,105.50,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F00261,"옥수수, 찰옥수수, 삶은것",곡류 및 그 제품,23.40,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_061.jpg
F00280,"찹쌀, 백미, 생것",곡류 및 그 제품,45.00,null,
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,19.30,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F00278,"조, 차조, 도정, 생것",곡류 및 그 제품,8.90,null,
F00482,"팥, 적색, 말린것",두류,8.90,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_097.jpg
F00228,"수수, 찰수수, 도정, 생것",곡류 및 그 제품,6.50,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_079.jpg
F00466,"대두, 검은색, 흑태, 말린것",두류,6.50,대두(콩),
F00004,"기장, 도정, 생것",곡류 및 그 제품,3.10,null,
F02876,"소금, 천일염, 가는소금",조미료류,1.90,null,
F00280,"찹쌀, 백미, 생것",곡류 및 그 제품,60.70,null,
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,26.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F00278,"조, 차조, 도정, 생것",곡류 및 그 제품,12.00,null,
F00482,"팥, 적색, 말린것",두류,12.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_097.jpg
F00228,"수수, 찰수수, 도정, 생것",곡류 및 그 제품,8.80,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_079.jpg
F00466,"대두, 검은색, 흑태, 말린것",두류,8.80,대두(콩),
F00004,"기장, 도정, 생것",곡류 및 그 제품,4.20,null,
F02876,"소금, 천일염, 가는소금",조미료류,2.60,null,
F00280,"찹쌀, 백미, 생것",곡류 및 그 제품,30.00,null,
F00002,"귀리, 쌀귀리, 도정, 생것",곡류 및 그 제품,15.00,null,
F00215,"보리, 쌀보리, 도정, 생것",곡류 및 그 제품,22.00,null,
F00328,"고구마, 찐것",감자 및 전분류,100.00,null,
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,60.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F00261,"옥수수, 찰옥수수, 삶은것",곡류 및 그 제품,60.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_061.jpg
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,120.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F00425,"강낭콩, 삶은것",두류,11.70,null,
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,45.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F00216,"보리, 겉보리, 압맥",곡류 및 그 제품,7.90,null,
F00002,"귀리, 쌀귀리, 도정, 생것",곡류 및 그 제품,20.40,null,
F00280,"찹쌀, 백미, 생것",곡류 및 그 제품,41.40,null,
F00215,"보리, 쌀보리, 도정, 생것",곡류 및 그 제품,15.00,null,
F00328,"고구마, 찐것",감자 및 전분류,54.80,null,
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,40.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F00280,"찹쌀, 백미, 생것",곡류 및 그 제품,35.00,null,
F00002,"귀리, 쌀귀리, 도정, 생것",곡류 및 그 제품,23.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,60.00,null,
F00001,"귀리, 겉귀리, 도정, 생것",곡류 및 그 제품,30.00,null,
F00739,"마늘, 생것",채소류,5.00,null,
F01557,"닭고기, 가슴, 생것",육류,30.00,닭고기,
F01132,"토마토, 방울토마토, 생것",채소류,30.00,토마토,
F03079,"인삼, 수삼, 생것",기타,15.00,null,
F03332,"비타민채(다채), 어린잎, 생것",채소류,20.00,null,
F00004,"기장, 도정, 생것",곡류 및 그 제품,20.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,50.00,null,
F02411,"전복, 둥근전복, 생것",어패류 및 기타 수산물,40.00,"어패류(굴, 전복, 홍합 포함)",
F01045,"우엉, 생것",채소류,10.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-5845-1/978-89-480-5845-1_B_093.jpg
F01024,"연근, 생것",채소류,10.00,null,
F00702,"당근, 뿌리, 생것",채소류,8.00,null,
F03557,"고구마, 생것",감자 및 전분류,30.00,null,
F02858,맛술,조미료류,5.00,null,
F02710,참기름,유지류,4.00,null,
F02838,고춧가루,조미료류,0.50,null,
F02825,"간장, 개량, 양조",조미료류,10.00,대두(콩),
F01347,매실청,과일류,5.00,null,
F01149,"파, 대파, 생것",채소류,3.00,null,
F00739,"마늘, 생것",채소류,2.00,null,
F02841,"참깨, 흰색, 볶은것",견과 및 종실류,0.50,null,
F01148,"파, 쪽파, 생것",채소류,2.00,null,
F03640,생수,음료류,10.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,40.00,null,
F00280,"찹쌀, 백미, 생것",곡류 및 그 제품,40.00,null,
F03640,생수,음료류,105.00,null,
F01319,"대추, 생것",과일류,30.00,null,
F01179,"호박, 단호박, 생것",채소류,30.00,null,
F01276,"표고버섯, 참나무재배, 생것",버섯류,15.00,null,
F00541,"은행, 생것",견과 및 종실류,5.00,null,
F00569,"호박씨, 말린것",견과 및 종실류,3.00,null,
F02876,"소금, 천일염, 가는소금",조미료류,0.50,null,
F00868,"부추, 재래종, 생것",채소류,8.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-5845-1/978-89-480-5845-1_B_084.jpg
F02838,고춧가루,조미료류,1.00,null,
F02825,"간장, 개량, 양조",조미료류,6.00,대두(콩),
F00739,"마늘, 생것",채소류,3.00,null,
F02688,들기름,유지류,2.00,null,
F02841,"참깨, 흰색, 볶은것",견과 및 종실류,0.50,null,
F00215,"보리, 쌀보리, 도정, 생것",곡류 및 그 제품,40.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,30.00,null,
F00276,"조, 메조, 도정, 생것",곡류 및 그 제품,10.00,null,
F03640,생수,음료류,120.00,null,
F00917,"상추, 잎상추, 치마상추, 녹색, 생것",채소류,30.00,null,
F01001,"양파, 생것",채소류,15.00,null,
F02892,쌈장,조미료류,25.00,대두(콩),
F03158,"팥, 적색, 말린것",두류,40.00,null,
F00228,"수수, 찰수수, 도정, 생것",곡류 및 그 제품,20.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_079.jpg
F03640,생수,음료류,90.00,null,
F00279,"찹쌀, 백미, 가루",곡류 및 그 제품,10.00,null,
F00394,"설탕, 백설탕",당류,10.00,null,
F02876,"소금, 천일염, 가는소금",조미료류,0.50,null,
F00280,"찹쌀, 백미, 생것",곡류 및 그 제품,30.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,15.00,null,
F00482,"팥, 적색, 말린것",두류,10.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_097.jpg
F00452,"밤콩, 갈색, 말린것",두류,10.00,대두(콩),
F00228,"수수, 찰수수, 도정, 생것",곡류 및 그 제품,10.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_079.jpg
F00278,"조, 차조, 도정, 생것",곡류 및 그 제품,8.00,null,
F02876,"소금, 천일염, 가는소금",조미료류,1.00,null,
F03640,생수,음료류,110.00,null,
F00280,"찹쌀, 백미, 생것",곡류 및 그 제품,15.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,15.00,null,
F00460,"대두, 검은색, 서리태, 말린것",두류,10.00,대두(콩),
F00482,"팥, 적색, 말린것",두류,15.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_097.jpg
F00227,"수수, 도정, 생것",곡류 및 그 제품,12.00,null,
F00278,"조, 차조, 도정, 생것",곡류 및 그 제품,10.00,null,
F03640,생수,음료류,110.00,null,
F03015,연잎밥,조리가공식품류,0.00,null,
F00511,"밤, 생것",견과 및 종실류,20.00,null,
F02876,"소금, 천일염, 가는소금",조미료류,0.70,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,60.00,null,
F03640,생수,음료류,80.00,null,
F00702,"당근, 뿌리, 생것",채소류,10.00,null,
F01045,"우엉, 생것",채소류,20.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-5845-1/978-89-480-5845-1_B_093.jpg
F01276,"표고버섯, 참나무재배, 생것",버섯류,15.00,null,
F00239,"옥수수, 단옥수수, 생것",곡류 및 그 제품,50.00,null,
F02586,"다시마, 말린것",해조류,1.00,null,
F00442,"완두, 생것",두류,20.00,null,
F02710,참기름,유지류,3.00,null,
F02858,맛술,조미료류,3.00,null,
F02876,"소금, 천일염, 가는소금",조미료류,0.80,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,90.00,null,
F00423,"강낭콩, 생것",두류,10.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,60.00,null,
F00224,"보리, 겉보리, 늘보리, 도정, 생것",곡류 및 그 제품,20.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,80.00,null,
F00224,"보리, 겉보리, 늘보리, 도정, 생것",곡류 및 그 제품,10.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,90.00,null,
F00432,"동부, 생것",두류,10.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,80.00,null,
F00440,"렌즈콩(렌틸콩), 갈색, 말린것",두류,5.00,null,
F00281,"찹쌀, 현미, 생것",곡류 및 그 제품,5.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,55.00,null,
F00442,"완두, 생것",두류,5.00,null,
F00466,"대두, 검은색, 흑태, 말린것",두류,5.00,대두(콩),
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,90.00,null,
F00280,"찹쌀, 백미, 생것",곡류 및 그 제품,10.00,null,
F00460,"대두, 검은색, 서리태, 말린것",두류,2.00,대두(콩),
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,90.00,null,
F00280,"찹쌀, 백미, 생것",곡류 및 그 제품,20.00,null,
F00480,"팥, 검은색, 말린것",두류,10.00,null,
F00278,"조, 차조, 도정, 생것",곡류 및 그 제품,3.00,null,
F00227,"수수, 도정, 생것",곡류 및 그 제품,3.00,null,
F00004,"기장, 도정, 생것",곡류 및 그 제품,3.00,null,
F02878,"소금, 천일염, 소금꽃",조미료류,0.10,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,70.00,null,
F00223,"보리, 쌀보리, 찰보리, 도정, 생것",곡류 및 그 제품,10.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,90.00,null,
F00281,"찹쌀, 현미, 생것",곡류 및 그 제품,10.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,90.00,null,
F00227,"수수, 도정, 생것",곡류 및 그 제품,3.00,null,
F00002,"귀리, 쌀귀리, 도정, 생것",곡류 및 그 제품,3.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,90.00,null,
F00278,"조, 차조, 도정, 생것",곡류 및 그 제품,3.00,null,
F00002,"귀리, 쌀귀리, 도정, 생것",곡류 및 그 제품,3.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,80.00,null,
F00281,"찹쌀, 현미, 생것",곡류 및 그 제품,5.00,null,
F00002,"귀리, 쌀귀리, 도정, 생것",곡류 및 그 제품,3.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,90.00,null,
F03269,"보리, 겉보리, 도정, 생것",곡류 및 그 제품,5.00,null,
F00004,"기장, 도정, 생것",곡류 및 그 제품,3.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,90.00,null,
F00281,"찹쌀, 현미, 생것",곡류 및 그 제품,5.00,null,
F00004,"기장, 도정, 생것",곡류 및 그 제품,3.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,80.00,null,
F00511,"밤, 생것",견과 및 종실류,20.00,null,
F00280,"찹쌀, 백미, 생것",곡류 및 그 제품,15.00,null,
F00480,"팥, 검은색, 말린것",두류,10.00,null,
F01320,"대추, 말린것",과일류,5.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,75.00,null,
F00706,"더덕, 뿌리, 생것",채소류,30.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-5845-1/978-89-480-5845-1_B_059.jpg
F01271,"표고버섯, 배지재배, 생것",버섯류,10.00,null,
F00541,"은행, 생것",견과 및 종실류,8.00,null,
F02878,"소금, 천일염, 소금꽃",조미료류,1.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,80.00,null,
F00441,"병아리콩, 말린것",두류,10.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,100.00,null,
F00215,"보리, 쌀보리, 도정, 생것",곡류 및 그 제품,5.00,null,
F03214,"멥쌀, 현미, 생것",곡류 및 그 제품,5.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,85.00,null,
F00281,"찹쌀, 현미, 생것",곡류 및 그 제품,5.00,null,
F00227,"수수, 도정, 생것",곡류 및 그 제품,3.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,80.00,null,
F00259,"옥수수, 찰옥수수, 생것",곡류 및 그 제품,10.00,null,
F00460,"대두, 검은색, 서리태, 말린것",두류,5.00,대두(콩),
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,100.00,null,
F00278,"조, 차조, 도정, 생것",곡류 및 그 제품,3.00,null,
F00004,"기장, 도정, 생것",곡류 및 그 제품,3.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,90.00,null,
F00281,"찹쌀, 현미, 생것",곡류 및 그 제품,5.00,null,
F00278,"조, 차조, 도정, 생것",곡류 및 그 제품,3.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,90.00,null,
F00259,"옥수수, 찰옥수수, 생것",곡류 및 그 제품,30.00,null,
F00280,"찹쌀, 백미, 생것",곡류 및 그 제품,20.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,50.00,null,
F00280,"찹쌀, 백미, 생것",곡류 및 그 제품,5.00,null,
F00004,"기장, 도정, 생것",곡류 및 그 제품,5.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,60.00,null,
F00426,"녹두, 말린것",두류,5.00,null,
F00280,"찹쌀, 백미, 생것",곡류 및 그 제품,2.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,100.00,null,
F00280,"찹쌀, 백미, 생것",곡류 및 그 제품,5.00,null,
F00278,"조, 차조, 도정, 생것",곡류 및 그 제품,3.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,100.00,null,
